student_id,fee_submission_date,day_of_month
51,9/10/2022,10
38,3/19/2024,19
52,1/5/2022,5
8,10/27/2023,27
37,7/18/2024,18
60,3/7/2022,7
7,2/1/2023,1
34,8/24/2023,24
90,7/27/2022,27
55,8/12/2024,12
24,6/12/2022,12
81,9/12/2024,12
16,3/25/2024,25
67,8/26/2023,26
79,10/29/2022,29
7,7/7/2023,7
17,7/23/2022,23
27,7/18/2024,18
15,1/12/2023,12
92,4/22/2023,22
21,12/3/2022,3
53,2/28/2022,28
35,6/20/2023,20
80,3/3/2023,3
46,2/15/2022,15
93,1/10/2022,10
41,3/20/2024,20
85,6/15/2024,15
96,5/3/2024,3
96,5/28/2024,28
9,3/26/2024,26
13,11/25/2023,25
80,6/27/2023,27
57,9/2/2023,2
44,2/26/2024,26
23,12/13/2021,13
51,11/20/2023,20
48,4/26/2023,26
87,3/24/2022,24
39,1/4/2024,4
75,12/12/2021,12
91,8/31/2024,31
78,12/3/2024,3
84,7/17/2023,17
71,4/17/2024,17
22,3/9/2023,9
41,6/12/2022,12
73,9/21/2024,21
83,6/4/2023,4
51,7/15/2024,15
79,3/19/2024,19
39,9/12/2024,12
4,3/2/2024,2
100,4/20/2022,20
100,3/26/2024,26
50,11/30/2024,30
78,4/5/2023,5
28,12/6/2024,6
16,6/7/2023,7
47,11/30/2024,30
26,11/1/2022,1
31,4/17/2024,17
5,5/2/2023,2
40,1/24/2023,24
93,5/15/2024,15
4,8/29/2022,29
83,3/2/2024,2
52,1/20/2024,20
76,9/30/2023,30
28,3/26/2024,26
84,1/6/2024,6
2,7/15/2024,15
74,4/5/2023,5
61,7/28/2022,28
84,2/24/2022,24
70,7/28/2022,28
36,3/11/2024,11
89,8/31/2023,31
73,6/30/2022,30
50,3/11/2022,11
66,7/23/2022,23
33,5/3/2024,3
77,3/7/2024,7
83,11/11/2023,11
92,10/10/2023,10
63,3/11/2022,11
83,6/29/2024,29
10,6/6/2023,6
66,5/4/2024,4
75,5/16/2023,16
89,9/30/2023,30
84,2/26/2024,26
8,7/19/2022,19
48,6/23/2022,23
92,10/10/2023,10
84,7/17/2023,17
34,6/15/2024,15
3,8/12/2024,12
69,10/9/2022,9
67,8/8/2022,8
90,6/7/2023,7
6,7/28/2022,28
34,5/29/2023,29
63,3/9/2023,9
34,12/25/2022,25
70,7/24/2023,24
28,4/17/2024,17
87,12/28/2022,28
30,3/19/2024,19
31,4/12/2024,12
50,2/15/2022,15
49,11/25/2023,25
31,11/30/2024,30
70,12/6/2024,6
14,3/9/2023,9
84,8/23/2023,23
85,1/5/2022,5
32,4/19/2022,19
33,5/8/2024,8
43,9/2/2023,2
18,11/13/2022,13
85,4/3/2023,3
53,5/2/2023,2
46,3/10/2023,10
17,1/5/2022,5
47,4/22/2024,22
4,7/15/2024,15
99,10/5/2022,5
1,3/26/2024,26
18,2/24/2022,24
61,1/6/2024,6
51,4/12/2024,12
19,1/17/2023,17
20,3/20/2024,20
90,2/16/2023,16
90,11/25/2023,25
91,2/2/2023,2
57,4/3/2023,3
2,4/21/2023,21
91,3/19/2024,19
63,12/17/2021,17
73,4/22/2024,22
89,3/30/2024,30
99,1/6/2024,6
33,9/9/2024,9
90,1/4/2024,4
11,10/10/2023,10
21,10/9/2022,9
88,12/12/2021,12
51,10/5/2022,5
55,3/11/2022,11
86,7/17/2023,17
77,1/4/2024,4
95,4/17/2024,17
97,4/26/2023,26
71,3/25/2024,25
32,7/7/2023,7
48,2/16/2023,16
65,11/18/2024,18
19,9/6/2022,6
85,5/5/2024,5
51,7/8/2024,8
8,7/27/2022,27
22,5/4/2022,4
47,4/22/2024,22
67,9/9/2023,9
10,6/15/2023,15
86,1/16/2022,16
44,7/15/2024,15
54,4/5/2023,5
54,8/16/2022,16
60,2/26/2023,26
1,8/31/2023,31
49,4/25/2023,25
40,4/14/2023,14
82,11/7/2024,7
45,5/5/2024,5
88,7/19/2022,19
92,12/16/2021,16
27,8/16/2022,16
25,10/4/2023,4
85,6/15/2024,15
55,6/27/2023,27
58,7/19/2022,19
39,4/21/2023,21
6,9/9/2024,9
37,10/4/2023,4
90,10/9/2022,9
21,11/30/2024,30
30,11/25/2023,25
94,8/8/2022,8
62,6/15/2024,15
9,6/29/2024,29
4,2/2/2023,2
56,5/26/2023,26
4,6/27/2023,27
26,1/10/2023,10
58,9/9/2023,9
58,2/2/2023,2
94,6/4/2023,4
87,1/10/2022,10
82,7/19/2022,19
64,9/30/2023,30
1,12/29/2022,29
64,8/12/2024,12
52,7/24/2023,24
97,1/12/2023,12
40,5/8/2024,8
2,4/14/2023,14
66,11/18/2024,18
91,12/9/2022,9
49,3/11/2024,11
3,10/5/2023,5
19,12/4/2022,4
49,3/9/2023,9
74,3/25/2024,25
32,7/29/2023,29
73,8/23/2024,23
19,2/26/2024,26
93,7/29/2023,29
55,8/23/2024,23
82,9/12/2024,12
3,6/15/2024,15
70,7/8/2024,8
64,9/2/2023,2
15,12/13/2021,13
65,10/5/2023,5
86,11/18/2024,18
91,4/17/2024,17
47,4/3/2023,3
28,2/17/2022,17
6,12/9/2022,9
99,12/6/2024,6
90,6/24/2022,24
86,9/4/2024,4
47,3/3/2023,3
73,1/16/2022,16
83,4/12/2022,12
21,8/16/2022,16
88,6/6/2023,6
1,8/11/2023,11
8,8/29/2022,29
28,1/17/2023,17
8,8/27/2023,27
24,12/3/2024,3
21,3/7/2024,7
82,4/20/2022,20
16,2/11/2022,11
66,10/8/2022,8
46,4/12/2022,12
7,7/15/2024,15
10,3/20/2024,20
11,7/23/2022,23
83,10/10/2023,10
6,3/7/2024,7
36,10/13/2022,13
82,11/30/2024,30
34,1/22/2023,22
17,5/1/2023,1
69,11/30/2024,30
29,6/27/2023,27
22,7/23/2023,23
28,9/4/2024,4
38,4/21/2023,21
98,10/5/2022,5
29,1/27/2024,27
11,3/11/2022,11
53,4/16/2022,16
28,9/25/2024,25
46,7/23/2023,23
31,8/23/2024,23
98,4/3/2023,3
32,3/4/2023,4
72,6/24/2022,24
75,1/4/2024,4
35,4/25/2023,25
7,7/19/2022,19
86,9/9/2024,9
88,4/20/2022,20
2,9/10/2022,10
89,8/9/2022,9
15,12/12/2021,12
6,2/25/2022,25
7,9/12/2024,12
58,7/7/2023,7
32,2/28/2022,28
8,10/8/2022,8
66,7/14/2024,14
56,5/26/2023,26
38,9/2/2023,2
10,3/11/2022,11
11,8/31/2023,31
23,2/28/2022,28
93,12/4/2022,4
26,7/7/2023,7
23,12/3/2022,3
93,7/24/2023,24
93,8/9/2022,9
50,1/30/2024,30
37,2/26/2023,26
34,3/11/2024,11
14,4/3/2023,3
50,12/13/2021,13
52,11/25/2023,25
59,7/28/2022,28
55,5/16/2023,16
35,4/3/2023,3
36,3/16/2023,16
23,3/11/2024,11
71,12/16/2021,16
73,12/29/2023,29
27,1/6/2024,6
22,6/6/2023,6
4,3/20/2024,20
52,8/19/2022,19
99,7/28/2022,28
92,8/29/2022,29
6,1/12/2023,12
11,1/30/2024,30
24,10/29/2024,29
97,7/29/2022,29
98,7/27/2022,27
78,4/3/2023,3
86,3/10/2023,10
5,7/29/2023,29
53,6/15/2024,15
10,5/4/2022,4
17,3/30/2024,30
27,4/16/2022,16
74,2/21/2022,21
41,8/29/2022,29
31,12/29/2022,29
10,9/21/2024,21
99,1/30/2024,30
44,3/7/2022,7
29,10/10/2023,10
28,8/11/2023,11
62,4/22/2024,22
96,3/19/2024,19
42,1/10/2022,10
54,1/6/2024,6
10,5/2/2023,2
84,4/21/2023,21
26,1/22/2024,22
94,12/9/2022,9
27,5/15/2024,15
96,2/2/2023,2
56,2/25/2022,25
69,3/7/2024,7
40,10/26/2023,26
70,3/11/2024,11
10,11/1/2022,1
61,5/28/2024,28
2,10/5/2022,5
56,10/14/2024,14
22,4/22/2024,22
26,12/30/2022,30
52,10/5/2022,5
87,8/11/2023,11
31,5/16/2023,16
86,8/26/2023,26
75,7/10/2024,10
93,3/19/2024,19
78,9/2/2023,2
82,2/16/2023,16
100,2/28/2022,28
87,11/2/2022,2
25,4/1/2023,1
20,4/17/2024,17
80,10/10/2023,10
17,4/12/2022,12
82,2/26/2023,26
51,8/27/2023,27
73,9/28/2022,28
65,4/26/2023,26
15,4/16/2022,16
84,8/18/2022,18
17,8/11/2022,11
58,3/20/2024,20
62,1/20/2024,20
65,7/14/2024,14
23,2/1/2023,1
97,8/31/2023,31
99,8/11/2022,11
43,11/25/2023,25
31,10/26/2023,26
22,2/24/2022,24
81,12/25/2022,25
25,12/13/2021,13
22,5/8/2024,8
49,12/27/2022,27
76,4/19/2022,19
63,1/27/2023,27
73,6/12/2024,12
9,12/17/2021,17
42,11/7/2024,7
64,10/29/2024,29
8,7/29/2023,29
58,3/30/2024,30
76,9/2/2023,2
86,11/11/2023,11
76,9/6/2022,6
63,2/24/2022,24
53,9/2/2023,2
74,11/25/2023,25
85,8/12/2024,12
12,5/8/2024,8
8,12/17/2021,17
21,3/3/2023,3
2,6/25/2022,25
44,3/7/2024,7
100,4/1/2023,1
90,8/27/2023,27
2,3/30/2024,30
42,9/11/2024,11
18,4/20/2022,20
78,8/9/2022,9
53,5/29/2023,29
81,2/24/2022,24
54,12/13/2021,13
81,9/6/2022,6
66,4/22/2024,22
33,3/20/2024,20
80,10/9/2022,9
25,2/26/2023,26
11,8/27/2023,27
92,3/2/2024,2
81,7/7/2023,7
67,12/17/2021,17
65,8/18/2022,18
21,10/8/2022,8
53,6/12/2022,12
37,8/31/2023,31
18,10/29/2024,29
92,4/25/2023,25
68,2/15/2022,15
94,10/14/2022,14
39,5/8/2024,8
13,2/21/2022,21
30,8/13/2024,13
30,9/30/2023,30
34,11/11/2023,11
43,8/12/2024,12
72,8/11/2023,11
94,12/6/2023,6
73,6/29/2024,29
53,11/13/2023,13
73,9/9/2023,9
24,1/4/2024,4
6,2/16/2023,16
48,12/4/2022,4
36,12/30/2022,30
29,1/10/2023,10
28,3/10/2023,10
37,8/16/2022,16
16,4/22/2023,22
92,2/21/2022,21
75,12/28/2022,28
76,4/12/2024,12
37,8/19/2022,19
31,12/4/2022,4
76,3/26/2024,26
92,7/6/2024,6
81,2/2/2023,2
28,10/13/2022,13
59,8/23/2024,23
85,2/21/2022,21
16,3/9/2023,9
35,1/6/2024,6
90,2/25/2022,25
9,7/23/2023,23
31,2/2/2023,2
87,11/18/2024,18
51,8/16/2022,16
63,3/30/2024,30
67,1/6/2024,6
95,1/30/2024,30
86,5/4/2022,4
23,9/30/2023,30
10,1/10/2023,10
19,4/22/2023,22
100,12/4/2022,4
40,12/30/2022,30
20,1/23/2023,23
4,6/7/2023,7
55,1/30/2024,30
25,2/16/2023,16
97,6/15/2024,15
61,10/10/2023,10
84,4/21/2023,21
50,1/27/2024,27
77,7/29/2023,29
53,10/10/2023,10
60,12/27/2022,27
19,6/29/2024,29
79,12/6/2023,6
67,7/27/2022,27
40,10/9/2022,9
4,4/16/2022,16
28,12/29/2022,29
69,6/23/2022,23
27,11/1/2022,1
55,3/3/2023,3
3,12/30/2022,30
84,4/17/2024,17
49,12/30/2022,30
21,5/26/2023,26
99,12/12/2021,12
48,4/1/2023,1
44,12/25/2022,25
34,1/22/2023,22
43,1/4/2024,4
55,11/30/2024,30
64,3/20/2024,20
44,10/29/2024,29
75,5/29/2023,29
31,2/16/2023,16
39,8/16/2022,16
96,9/12/2024,12
66,9/10/2022,10
51,3/30/2024,30
14,1/4/2024,4
2,9/9/2023,9
75,4/20/2022,20
31,5/15/2024,15
66,1/17/2023,17
9,12/3/2024,3
29,11/13/2023,13
92,12/3/2022,3
80,12/9/2022,9
99,12/6/2024,6
39,10/29/2022,29
15,5/15/2024,15
29,1/22/2024,22
86,8/23/2024,23
89,5/28/2024,28
28,6/25/2022,25
99,3/20/2024,20
29,12/3/2024,3
28,8/29/2022,29
76,1/10/2023,10
46,1/27/2024,27
20,8/31/2024,31
93,1/6/2024,6
75,12/16/2021,16
58,10/5/2022,5
80,6/12/2022,12
17,11/11/2023,11
39,6/6/2023,6
32,3/7/2022,7
46,12/4/2022,4
49,8/24/2023,24
72,1/20/2024,20
34,12/30/2022,30
48,8/19/2022,19
98,10/26/2023,26
36,12/9/2022,9
17,12/3/2022,3
42,7/7/2023,7
63,6/25/2022,25
68,8/24/2023,24
17,3/11/2024,11
60,1/12/2023,12
46,9/25/2024,25
87,10/13/2022,13
46,3/30/2024,30
32,12/9/2022,9
31,2/1/2023,1
81,10/13/2022,13
70,8/31/2024,31
52,2/16/2023,16
42,5/4/2022,4
18,4/17/2024,17
85,1/27/2024,27
33,5/8/2024,8
5,6/15/2023,15
55,9/9/2024,9
83,5/2/2024,2
40,12/29/2023,29
20,6/24/2022,24
37,5/3/2024,3
40,10/27/2023,27
20,1/24/2023,24
80,7/23/2023,23
89,2/17/2022,17
56,1/23/2023,23
51,4/17/2024,17
39,10/4/2023,4
31,10/9/2022,9
38,6/29/2024,29
92,5/29/2023,29
33,11/13/2023,13
65,4/21/2023,21
29,11/23/2024,23
92,4/14/2023,14
16,12/3/2022,3
82,11/23/2024,23
5,2/28/2022,28
17,4/21/2023,21
53,6/25/2022,25
7,1/31/2023,31
29,3/11/2024,11
40,1/22/2023,22
15,8/24/2023,24
96,4/17/2024,17
61,12/4/2022,4
50,4/22/2023,22
60,12/4/2022,4
8,8/23/2023,23
38,4/5/2023,5
89,3/11/2022,11
85,3/20/2024,20
18,10/14/2024,14
28,9/6/2022,6
36,12/30/2022,30
98,12/3/2024,3
67,12/3/2024,3
17,3/11/2024,11
39,11/11/2023,11
67,6/25/2022,25
67,6/7/2023,7
53,10/26/2023,26
16,3/2/2024,2
27,7/27/2022,27
78,4/19/2022,19
19,7/29/2023,29
33,6/15/2023,15
23,8/31/2023,31
28,10/10/2023,10
89,9/12/2024,12
1,4/1/2023,1
81,10/27/2023,27
68,6/20/2023,20
93,4/26/2023,26
50,1/20/2024,20
2,3/30/2024,30
73,8/31/2024,31
41,6/4/2023,4
85,12/28/2022,28
97,5/15/2024,15
49,7/24/2023,24
74,6/7/2023,7
58,3/20/2024,20
1,4/22/2024,22
86,12/30/2022,30
92,2/16/2023,16
91,4/26/2023,26
10,12/17/2021,17
66,3/11/2024,11
31,11/1/2022,1
50,6/20/2023,20
1,11/25/2023,25
73,12/27/2022,27
83,4/22/2024,22
59,3/4/2023,4
45,3/19/2024,19
71,12/13/2021,13
33,5/15/2024,15
12,7/28/2022,28
11,6/15/2023,15
67,1/4/2024,4
46,3/4/2023,4
29,11/7/2024,7
59,6/6/2023,6
31,5/4/2024,4
26,11/23/2024,23
61,11/13/2022,13
55,2/24/2022,24
50,6/15/2023,15
48,2/11/2022,11
34,1/5/2022,5
95,4/5/2023,5
25,3/3/2023,3
61,4/21/2023,21
49,12/9/2022,9
91,10/26/2023,26
66,6/29/2024,29
84,9/12/2024,12
32,4/5/2023,5
93,7/29/2023,29
3,12/28/2022,28
9,7/26/2022,26
6,10/5/2022,5
9,3/20/2024,20
60,11/1/2022,1
68,3/30/2024,30
96,3/25/2024,25
15,1/20/2024,20
95,11/7/2024,7
87,10/9/2022,9
2,4/25/2023,25
99,12/3/2022,3
97,8/13/2024,13
12,3/3/2023,3
77,1/31/2023,31
52,7/26/2022,26
2,4/25/2023,25
20,1/24/2023,24
40,6/20/2023,20
80,11/2/2022,2
5,7/6/2024,6
8,6/15/2024,15
74,10/29/2024,29
37,1/4/2024,4
53,3/11/2024,11
79,8/16/2022,16
84,4/22/2023,22
14,3/20/2024,20
100,7/28/2022,28
66,7/8/2024,8
23,3/7/2022,7
14,12/25/2022,25
58,11/13/2023,13
16,5/16/2023,16
39,11/23/2024,23
33,3/25/2024,25
49,10/5/2023,5
61,3/25/2024,25
28,6/15/2024,15
40,3/2/2024,2
31,8/20/2024,20
66,9/6/2022,6
41,5/4/2024,4
43,4/20/2022,20
71,5/1/2023,1
11,7/10/2024,10
49,11/2/2022,2
82,11/13/2023,13
95,11/25/2023,25
93,4/22/2024,22
88,7/19/2022,19
36,10/21/2023,21
28,7/17/2023,17
14,8/11/2022,11
23,10/29/2022,29
17,8/9/2022,9
10,10/10/2023,10
28,4/17/2024,17
83,2/16/2023,16
89,8/11/2023,11
85,5/28/2024,28
33,12/13/2021,13
72,1/10/2023,10
10,6/15/2024,15
33,4/12/2022,12
59,6/6/2023,6
77,1/6/2024,6
24,12/28/2022,28
94,10/29/2022,29
56,7/23/2023,23
52,1/5/2024,5
15,1/6/2024,6
56,6/30/2022,30
48,3/30/2024,30
81,6/23/2022,23
75,8/31/2023,31
3,8/20/2024,20
16,10/4/2023,4
14,6/15/2024,15
67,1/27/2023,27
86,11/7/2024,7
75,11/23/2024,23
88,4/12/2022,12
98,7/18/2024,18
70,7/26/2022,26
100,10/13/2022,13
52,12/29/2022,29
46,11/2/2022,2
70,1/6/2024,6
22,1/27/2024,27
22,4/12/2024,12
69,9/9/2024,9
60,6/29/2024,29
97,7/18/2024,18
86,8/11/2023,11
28,4/3/2023,3
52,9/4/2024,4
70,8/26/2023,26
18,8/26/2023,26
40,7/10/2024,10
94,12/3/2022,3
71,1/6/2024,6
17,1/31/2023,31
88,6/23/2022,23
43,7/6/2024,6
8,1/10/2023,10
2,1/17/2023,17
49,12/29/2023,29
76,4/25/2023,25
96,7/29/2022,29
93,3/10/2023,10
89,8/27/2023,27
23,12/29/2023,29
78,4/25/2023,25
72,1/22/2024,22
89,8/26/2023,26
15,11/25/2023,25
49,12/17/2021,17
29,6/20/2023,20
13,1/27/2024,27
10,3/11/2022,11
44,12/27/2022,27
52,10/13/2022,13
3,9/30/2023,30
97,5/3/2024,3
90,4/22/2023,22
92,2/26/2024,26
72,9/30/2023,30
82,3/19/2024,19
11,1/20/2024,20
90,4/14/2023,14
28,2/26/2023,26
38,2/21/2022,21
18,1/6/2024,6
29,6/4/2023,4
62,6/4/2023,4
32,7/26/2022,26
83,1/6/2024,6
21,2/17/2022,17
40,9/4/2024,4
2,9/25/2024,25
66,10/13/2022,13
97,4/12/2022,12
22,4/17/2024,17
26,1/6/2024,6
94,7/29/2022,29
3,4/20/2022,20
77,2/1/2023,1
94,12/6/2024,6
4,5/26/2023,26
5,4/17/2024,17
8,1/31/2023,31
14,11/11/2023,11
90,8/23/2023,23
12,12/6/2023,6
42,2/15/2022,15
50,1/10/2022,10
64,10/21/2023,21
32,3/3/2023,3
84,1/12/2023,12
58,4/3/2023,3
6,1/22/2023,22
100,5/1/2023,1
13,4/1/2023,1
56,6/12/2022,12
96,11/23/2024,23
22,7/23/2022,23
90,11/1/2022,1
42,1/24/2023,24
28,8/31/2023,31
11,8/24/2023,24
50,6/27/2023,27
83,3/25/2024,25
57,4/3/2023,3
1,4/1/2023,1
7,12/16/2021,16
67,6/15/2024,15
38,12/17/2021,17
4,3/10/2023,10
41,12/25/2022,25
22,7/24/2023,24
57,1/27/2023,27
78,1/20/2024,20
31,7/14/2024,14
27,11/7/2024,7
4,10/5/2023,5
8,7/7/2023,7
94,8/26/2023,26
59,12/4/2022,4
54,1/27/2024,27
31,3/25/2024,25
69,12/30/2022,30
95,8/12/2024,12
64,5/5/2024,5
12,8/19/2022,19
33,8/9/2022,9
42,5/15/2024,15
52,8/20/2024,20
14,6/15/2024,15
17,7/29/2023,29
81,1/17/2023,17
87,4/12/2024,12
43,4/22/2024,22
76,5/26/2023,26
59,5/1/2023,1
61,12/6/2023,6
9,4/20/2022,20
21,7/7/2023,7
60,12/12/2021,12
90,6/23/2022,23
40,4/21/2023,21
92,4/12/2024,12
43,3/9/2023,9
97,6/27/2023,27
34,12/4/2022,4
94,12/12/2021,12
17,2/24/2022,24
47,1/16/2022,16
92,2/17/2022,17
34,11/2/2022,2
9,6/15/2023,15
80,5/2/2023,2
96,7/29/2023,29
6,6/20/2023,20
70,3/26/2024,26
74,4/3/2023,3
4,6/24/2022,24
74,8/26/2023,26
41,12/16/2021,16
95,4/20/2022,20
93,3/7/2022,7
30,9/9/2024,9
64,4/20/2022,20
67,5/3/2024,3
80,10/14/2022,14
78,9/2/2023,2
44,6/24/2022,24
22,11/2/2022,2
45,8/29/2022,29
57,7/29/2023,29
97,6/29/2024,29
16,8/8/2022,8
96,4/16/2022,16
88,10/14/2022,14
26,3/7/2022,7
23,4/17/2024,17
22,4/26/2023,26
21,2/16/2023,16
65,9/30/2023,30
4,9/2/2023,2
36,7/29/2023,29
2,2/16/2023,16
47,3/3/2023,3
41,9/6/2022,6
50,9/2/2023,2
26,4/22/2024,22
78,3/30/2024,30
9,3/26/2024,26
48,10/21/2023,21
72,12/27/2022,27
38,11/18/2024,18
40,5/3/2024,3
2,3/20/2024,20
96,4/5/2023,5
41,9/6/2022,6
61,1/5/2022,5
28,6/12/2024,12
81,8/27/2023,27
38,9/4/2024,4
91,11/23/2024,23
68,9/6/2022,6
13,3/10/2023,10
66,6/15/2024,15
26,8/18/2022,18
96,11/1/2022,1
1,11/2/2022,2
91,6/12/2022,12
3,6/12/2022,12
82,10/10/2023,10
18,6/20/2023,20
65,6/12/2024,12
51,8/23/2024,23
96,10/14/2024,14
2,9/12/2024,12
64,4/21/2023,21
60,3/2/2024,2
70,8/11/2022,11
17,4/26/2023,26
19,12/28/2022,28
9,11/20/2023,20
83,9/2/2023,2
